Distance to closest modifier, Stress
4.50116,1.29833e+08
2.34123,1.24338e+08
3.08961,9.37183e+07
2.81691,8.45632e+07
3.7938,5.53274e+07
2.943,1.08018e+08
2.61673,1.14046e+08
4.55231,6.54611e+07
3.21669,7.98543e+07
4.2101,1.39001e+08
4.74704,1.43539e+08
2.32931,1.36629e+08
2.61501,1.36107e+08
2.33173,1.47923e+08
3.02919,1.36959e+08
6.03821,8.41088e+07
3.54561,9.91222e+07
4.75917,6.47554e+07
2.96885,8.14505e+07
3.55559,6.86788e+07
2.39665,8.28079e+07
3.8122,4.64972e+07
2.70847,1.22976e+08
2.97156,1.62265e+08
2.36098,1.74439e+08
3.46933,1.38487e+08
2.84117,1.30512e+08
5.00353,7.28094e+07
3.89758,8.14579e+07
2.2922,7.19522e+07
3.34062,7.7945e+07
3.52664,1.71391e+08
3.356,1.30958e+08
2.28161,1.25886e+08
2.3,1.2449e+08
3.13908,1.23043e+08
2.73096,1.35782e+08
2.4803,7.09548e+07
2.32875,1.41619e+08
2.35584,1.18609e+08
2.35069,1.43883e+08
2.34683,1.44758e+08
2.38077,8.82871e+07
3.57731,1.3099e+08
2.36721,1.149e+08
2.96993,1.47329e+08
2.3681,1.50164e+08
2.92121,1.61648e+08
3.91458,9.50435e+07
3.16453,1.0156e+08
3.11115,1.16893e+08
2.33001,7.29952e+07
2.32479,1.30998e+08
2.28804,1.15277e+08
3.27243,1.07205e+08
2.98852,1.54799e+08
3.04434,1.48444e+08
3.19282,1.18261e+08
3.55144,1.11146e+08
3.2383,7.98924e+07
4.43208,9.48301e+07
3.41454,1.11536e+08
3.52217,5.34233e+07
2.32058,1.7563e+08
3.41076,1.56024e+08
3.59193,1.46472e+08
3.14111,1.2846e+08
2.33635,1.41218e+08
2.79348,4.58877e+07
3.10233,8.30943e+07
2.79217,1.19046e+08
2.33093,1.29205e+08
2.51047,1.11579e+08
2.36308,1.63318e+08
4.39488,7.24361e+07
3.88839,6.04048e+07
2.33988,1.52814e+08
3.02918,1.3153e+08
3.51139,1.37355e+08
3.58088,1.38441e+08
2.88408,1.59521e+08
2.36823,8.7096e+07
2.69371,1.47299e+08
2.91744,8.40342e+07
2.33574,1.07521e+08
4.37537,1.00806e+08
2.92063,2.29459e+08
2.60335,1.5043e+08
4.03654,1.13977e+08
3.33059,1.30137e+08
2.32235,1.38105e+08
2.3053,1.51027e+08
2.32139,1.11412e+08
2.35835,1.19022e+08
3.69382,1.02811e+08
2.87895,8.80613e+07
2.36249,8.31838e+07
2.32726,1.1869e+08
2.33853,1.14155e+08
3.60053,5.32721e+07
2.32369,1.64517e+08
3.34983,1.44628e+08
2.342,1.54257e+08
2.902,4.39711e+07
3.69325,1.35492e+08
2.33236,6.66523e+07
2.34383,1.56706e+08
4.02291,1.28135e+08
3.1673,1.17818e+08
3.46674,1.38259e+08
2.75676,1.37764e+08
2.96752,9.57205e+07
2.28971,1.40241e+08
2.32273,1.22447e+08
2.34187,1.21822e+08
3.66725,1.04984e+08
2.33787,1.41566e+08
3.59874,5.62935e+07
2.33297,1.67941e+08
3.34491,1.44647e+08
2.34406,1.49278e+08
3.52342,1.32216e+08
3.00967,1.08058e+08
2.28845,1.42226e+08
2.33216,1.19786e+08
2.36043,1.22634e+08
2.79931,1.41711e+08
3.66592,5.77293e+07
3.7162,1.05058e+08
2.35895,1.65962e+08
2.3288,1.41026e+08
3.23479,1.48844e+08
2.34336,1.48943e+08
2.33347,1.12103e+08
2.33013,1.61541e+08
2.84836,1.8017e+08
3.15085,1.18019e+08
2.86833,1.24964e+08
3.92497,1.98247e+08
2.96174,9.80517e+07
3.40579,1.37343e+08
2.36637,9.85024e+07
2.37504,1.14385e+08
2.75546,1.42075e+08
2.39529,6.68632e+07
